"id","name","code","short_name","unavailable","strength","position","played","win","loss","draw","points","form","link_url","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away","team_division","is_home","day","event_day","month","id2","opponent","is_home1","day1","event_day1","month1","id1","opponent1"
1,"Arsenal",3,"ARS",FALSE,4,0,0,0,0,0,0,NA,"",1250,1320,1230,1280,1270,1320,1,FALSE,2,2,9,33,"CAR",FALSE,15,1,9,46,"NEW"
2,"Bournemouth",91,"BOU",FALSE,3,0,0,0,0,0,0,NA,"",1110,1150,1080,1120,1120,1170,1,FALSE,1,1,9,34,"CHE",TRUE,15,1,9,41,"LEI"
3,"Brighton",36,"BHA",FALSE,2,0,0,0,0,0,0,NA,"",1040,1100,1040,1070,1030,1100,1,TRUE,1,1,9,31,"FUL",FALSE,17,3,9,47,"SOU"
4,"Burnley",90,"BUR",FALSE,2,0,0,0,0,0,0,NA,"",1060,1080,1110,1150,1040,1090,1,TRUE,2,2,9,32,"MUN",FALSE,16,2,9,50,"WOL"
5,"Cardiff",97,"CAR",FALSE,2,0,0,0,0,0,0,NA,"",1020,1080,1010,1070,1000,1070,1,TRUE,2,2,9,33,"ARS",FALSE,15,1,9,42,"CHE"
6,"Chelsea",8,"CHE",FALSE,4,0,0,0,0,0,0,NA,"",1300,1310,1260,1290,1300,1320,1,TRUE,1,1,9,34,"BOU",TRUE,15,1,9,42,"CAR"
7,"Crystal Palace",31,"CRY",FALSE,3,0,0,0,0,0,0,NA,"",1090,1110,1050,1100,1070,1110,1,TRUE,1,1,9,35,"SOU",FALSE,15,1,9,44,"HUD"
8,"Everton",11,"EVE",FALSE,3,0,0,0,0,0,0,NA,"",1080,1140,1060,1110,1060,1130,1,TRUE,1,1,9,36,"HUD",TRUE,16,2,9,43,"WHU"
9,"Fulham",54,"FUL",FALSE,2,0,0,0,0,0,0,NA,"",1030,1080,1010,1060,1040,1090,1,FALSE,1,1,9,31,"BHA",FALSE,15,1,9,45,"MCI"
10,"Huddersfield",38,"HUD",FALSE,2,0,0,0,0,0,0,NA,"",1020,1050,1020,1060,980,1020,1,FALSE,1,1,9,36,"EVE",TRUE,15,1,9,44,"CRY"
11,"Leicester",13,"LEI",FALSE,3,0,0,0,0,0,0,NA,"",1100,1140,1100,1180,1090,1140,1,TRUE,1,1,9,37,"LIV",FALSE,15,1,9,41,"BOU"
12,"Liverpool",14,"LIV",FALSE,5,0,0,0,0,0,0,NA,"",1330,1340,1290,1320,1320,1340,1,FALSE,1,1,9,37,"LEI",FALSE,15,1,9,48,"TOT"
13,"Man City",43,"MCI",FALSE,5,0,0,0,0,0,0,NA,"",1340,1350,1300,1320,1330,1350,1,TRUE,1,1,9,38,"NEW",TRUE,15,1,9,45,"FUL"
14,"Man Utd",1,"MUN",FALSE,4,0,0,0,0,0,0,NA,"",1300,1310,1260,1300,1280,1310,1,FALSE,2,2,9,32,"BUR",FALSE,15,1,9,49,"WAT"
15,"Newcastle",4,"NEW",FALSE,3,0,0,0,0,0,0,NA,"",1080,1130,1060,1110,1040,1090,1,FALSE,1,1,9,38,"MCI",TRUE,15,1,9,46,"ARS"
16,"Southampton",20,"SOU",FALSE,3,0,0,0,0,0,0,NA,"",1050,1100,1030,1080,1070,1120,1,FALSE,1,1,9,35,"CRY",TRUE,17,3,9,47,"BHA"
17,"Spurs",6,"TOT",FALSE,5,0,0,0,0,0,0,NA,"",1320,1330,1280,1300,1310,1330,1,FALSE,2,2,9,39,"WAT",TRUE,15,1,9,48,"LIV"
18,"Watford",57,"WAT",FALSE,3,0,0,0,0,0,0,NA,"",1100,1140,1090,1190,1080,1150,1,TRUE,2,2,9,39,"TOT",TRUE,15,1,9,49,"MUN"
19,"West Ham",21,"WHU",FALSE,3,0,0,0,0,0,0,NA,"",1070,1090,1030,1070,1080,1110,1,TRUE,1,1,9,40,"WOL",FALSE,16,2,9,43,"EVE"
20,"Wolves",39,"WOL",FALSE,3,0,0,0,0,0,0,NA,"",1050,1110,1080,1120,1030,1090,1,FALSE,1,1,9,40,"WHU",TRUE,16,2,9,50,"BUR"
